,Gaia_ID,Ascension,Declination,Distance_50,Binary
148,2850587253398091776,1.6640775,25.8718251,0.03907,NaN
149,2441630500517079808,1.6763504,-7.5464753,0.00485,NaN
150,2309262151074393472,1.6883703,-36.5606131,0.04394,NaN
151,2309262151074393344,1.6887463,-36.5600677,0.04384,NaN
152,2429054458317192576,1.6974647,-8.8779302,0.03132,NaN
153,2429054454021227648,1.704574,-8.8809149,0.03088,NaN
154,2337191189529102336,1.7091616,-23.1077505,0.03974,NaN
155,2545898730071382528,1.7227821,0.089344,0.04389,NaN
156,2798318944514827136,1.7290692,19.8209112,0.0431,NaN
157,2848910085848801536,1.7332422,23.472559,0.04514,NaN
158,2848910085848801792,1.734073,23.4704461,0.04492,NaN
159,4900323420040865792,1.7422734,-64.6153395,0.04322,NaN
160,4922569671300905088,1.7754115,-56.084649,0.02485,NaN
161,2336284229875185024,1.7766092,-25.4143459,0.04174,NaN
162,2448308212589610240,1.7790991,-3.1204097,0.0424,NaN
163,2336406413104712320,1.7838071,-24.9681458,0.0307,NaN
164,2320705627578481664,1.7981076,-29.9636495,0.04364,NaN
165,2320705730657448576,1.8267269,-29.9774442,0.03107,NaN
166,395893734415173888,1.8331218,52.6918664,0.03861,NaN
167,395893734415174144,1.8331733,52.6907301,0.03871,NaN
168,2766234439302571904,1.8372377,12.5048455,0.01746,NaN
169,2320750123439437184,1.8451835,-29.591227,0.04005,NaN
170,2320750157799181184,1.8452207,-29.5888738,0.04013,NaN
171,383981178754905984,1.8613126,41.0265998,0.04523,NaN
172,2860957125517813248,1.8690045,29.2373795,0.02111,NaN
173,2875903332533220992,1.8705301,34.061911,0.03401,NaN
174,2336728947968831104,1.8871494,-23.8183163,0.0328,NaN
175,2853814491824239232,1.9300075,27.1941876,0.04117,NaN
176,429297924157113856,1.9303493,60.3816624,0.01538,NaN
177,4901369231692835072,1.9337817,-63.5340839,0.0426,NaN
178,528913132171021568,1.9610517,67.6066391,0.02521,NaN
179,383108338321272448,1.9775533,39.7919319,0.03436,NaN
180,2751999130977261184,1.9947505,8.0035687,0.02717,NaN
181,2545805310238221312,2.0141481,-0.4613501,0.04391,NaN
182,393155984814848128,2.0259455,47.9506786,0.01865,NaN
183,2365661393862854272,2.0679329,-19.9690353,0.03675,NaN
184,2417456431710276096,2.0681074,-14.8245412,0.02731,NaN
185,2313309796973868544,2.0681667,-33.2677351,0.04447,NaN
186,4919497979411495296,2.0695189,-57.0982268,0.01281,NaN
187,2364698805792480768,2.0825045,-21.0055454,0.03971,NaN
188,2335432795558314112,2.0831628,-25.9964173,0.0375,NaN
189,4977776631171372160,2.0985287,-48.298252,0.03257,NaN
190,2745647973856851712,2.1076643,6.6167945,0.03841,NaN
191,4901109094112344192,2.1111944,-64.0191928,0.03282,NaN
192,2772804845911842944,2.1132325,17.4240002,0.02174,NaN
193,2740729342951159424,2.1281174,3.208024,0.03681,NaN
194,2421527854548454784,2.1301948,-11.5093258,0.03833,NaN
195,420235478744248192,2.1434927,54.8952298,0.03404,NaN
196,2877522230262577024,2.1699454,36.6265722,0.0326,NaN
197,4924006870439378304,2.1872472,-53.9036884,0.04249,NaN
198,386864854157380480,2.2069667,46.1959099,0.02057,NaN
199,4991271379757606656,2.2227608,-45.2811019,0.04136,NaN
200,528521293718008576,2.2278892,67.2808806,0.0417,NaN
201,393621524910343296,2.2322729,49.3165437,0.01476,NaN
202,528378632083865856,2.2404675,66.4566788,0.03637,NaN
203,2860297040582153600,2.2467264,29.1969097,0.03856,NaN
204,2336386003420150016,2.2510923,-25.1214408,0.04585,NaN
205,4990514679535146112,2.2662699,-45.4808376,0.04143,NaN
206,4990514679534301568,2.2665405,-45.4806802,0.04134,NaN
207,2333676738050041728,2.2716168,-27.1217327,0.02377,NaN
208,2306661939218648320,2.2940611,-38.3995069,0.03757,NaN
209,4990467778492279296,2.2992683,-45.8730008,0.0333,NaN
210,2444986450522708736,2.3055427,-4.1342159,0.03355,NaN
211,2444986450522708864,2.3060418,-4.1351148,0.03434,NaN
212,2850307152810958336,2.3088156,25.2768473,0.04452,NaN
213,2850307187170712576,2.3164563,25.2813108,0.04402,NaN
214,2742471038088810496,2.3242277,6.061909,0.04153,NaN
215,2365672801296041728,2.3268213,-19.7063277,0.02904,NaN
216,4922947628424508544,2.3293935,-55.0998462,0.02376,NaN
217,2364492097606462336,2.3338376,-21.2452953,0.02324,NaN
218,4990516294443333504,2.3534338,-45.7482221,0.04426,NaN
219,2335516289722604416,2.3754088,-25.5714666,0.03872,NaN
220,2848630088340967040,2.3809395,22.9009623,0.03684,NaN
221,4990235918977927424,2.3895607,-46.4798553,0.03831,NaN
222,4905968935508340224,2.3945202,-60.3580378,0.04173,NaN
223,4996252755842227072,2.4315113,-41.2927448,0.02289,NaN
224,4995796699034222464,2.4392792,-42.0276554,0.01643,NaN
225,2753032774987048192,2.4401882,9.7478372,0.02778,NaN
226,2772737844422061440,2.4585149,17.1556944,0.03555,NaN
227,2443275026314724864,2.4802407,-6.7686324,0.0433,NaN
228,2443287533259504640,2.4902575,-6.6041719,0.03532,NaN
229,392963673358420736,2.4973561,47.0226198,0.03278,NaN
230,2443300108923745408,2.5004414,-6.5336498,0.03539,NaN
231,2364740071837660672,2.5009824,-20.5200346,0.02806,NaN
232,2336452180276297728,2.5074397,-24.3702193,0.03803,NaN
233,528898838523503360,2.5171252,67.4694496,0.03984,NaN
234,2767809352269993856,2.5404756,13.4533557,0.04384,NaN
235,429775730677799168,2.6064255,62.2105365,0.0264,NaN
236,2429635550212644608,2.6227925,-7.7807564,0.02927,NaN
237,2796755129742387968,2.6343984,17.2634067,0.04091,NaN
238,2421439481301400960,2.6412374,-11.9728411,0.04582,NaN
